"periode_data","wilayah","kecamatan","kelurahan","jenis_kelamin","agama","jumlah"
"2023","JAKARTA PUSAT","SAWAH BESAR","MANGGA DUA SELATAN","Perempuan","KRISTEN","2626"
"2023","JAKARTA PUSAT","SAWAH BESAR","MANGGA DUA SELATAN","Perempuan","KHONGHUCU","6"
"2023","JAKARTA PUSAT","SAWAH BESAR","MANGGA DUA SELATAN","Perempuan","KEPERCAYAAN","0"
"2023","JAKARTA PUSAT","SAWAH BESAR","MANGGA DUA SELATAN","Perempuan","KATHOLIK","1280"
"2023","JAKARTA PUSAT","SAWAH BESAR","MANGGA DUA SELATAN","Perempuan","ISLAM","10703"
"2023","JAKARTA PUSAT","SAWAH BESAR","MANGGA DUA SELATAN","Perempuan","HINDU","13"
"2023","JAKARTA PUSAT","SAWAH BESAR","MANGGA DUA SELATAN","Perempuan","BUDHA","2109"
"2023","JAKARTA PUSAT","SAWAH BESAR","MANGGA DUA SELATAN","Laki_Laki","KRISTEN","2374"
"2023","JAKARTA PUSAT","SAWAH BESAR","MANGGA DUA SELATAN","Laki_Laki","KHONGHUCU","9"
"2023","JAKARTA PUSAT","SAWAH BESAR","MANGGA DUA SELATAN","Laki_Laki","KEPERCAYAAN","0"
"2023","JAKARTA PUSAT","SAWAH BESAR","MANGGA DUA SELATAN","Laki_Laki","KATHOLIK","1175"
"2023","JAKARTA PUSAT","SAWAH BESAR","MANGGA DUA SELATAN","Laki_Laki","ISLAM","11597"
"2023","JAKARTA PUSAT","SAWAH BESAR","MANGGA DUA SELATAN","Laki_Laki","HINDU","11"
"2023","JAKARTA PUSAT","SAWAH BESAR","MANGGA DUA SELATAN","Laki_Laki","BUDHA","2088"
"2023","JAKARTA PUSAT","SAWAH BESAR","GUNUNG SAHARI UTARA","Perempuan","KRISTEN","2590"
"2023","JAKARTA PUSAT","SAWAH BESAR","GUNUNG SAHARI UTARA","Perempuan","KHONGHUCU","2"
"2023","JAKARTA PUSAT","SAWAH BESAR","GUNUNG SAHARI UTARA","Perempuan","KEPERCAYAAN","0"
"2023","JAKARTA PUSAT","SAWAH BESAR","GUNUNG SAHARI UTARA","Perempuan","KATHOLIK","1266"
"2023","JAKARTA PUSAT","SAWAH BESAR","GUNUNG SAHARI UTARA","Perempuan","ISLAM","5078"
"2023","JAKARTA PUSAT","SAWAH BESAR","GUNUNG SAHARI UTARA","Perempuan","HINDU","81"
"2023","JAKARTA PUSAT","SAWAH BESAR","GUNUNG SAHARI UTARA","Perempuan","BUDHA","1101"
"2023","JAKARTA PUSAT","SAWAH BESAR","GUNUNG SAHARI UTARA","Laki_Laki","KRISTEN","2315"
"2023","JAKARTA PUSAT","SAWAH BESAR","GUNUNG SAHARI UTARA","Laki_Laki","KHONGHUCU","2"
"2023","JAKARTA PUSAT","SAWAH BESAR","GUNUNG SAHARI UTARA","Laki_Laki","KEPERCAYAAN","0"
"2023","JAKARTA PUSAT","SAWAH BESAR","GUNUNG SAHARI UTARA","Laki_Laki","KATHOLIK","1104"
"2023","JAKARTA PUSAT","SAWAH BESAR","GUNUNG SAHARI UTARA","Laki_Laki","ISLAM","5090"
"2023","JAKARTA PUSAT","SAWAH BESAR","GUNUNG SAHARI UTARA","Laki_Laki","HINDU","77"
"2023","JAKARTA PUSAT","SAWAH BESAR","GUNUNG SAHARI UTARA","Laki_Laki","BUDHA","1082"
"2023","JAKARTA PUSAT","SAWAH BESAR","KARTINI","Perempuan","KRISTEN","2798"
"2023","JAKARTA PUSAT","SAWAH BESAR","KARTINI","Perempuan","KHONGHUCU","2"
"2023","JAKARTA PUSAT","SAWAH BESAR","KARTINI","Perempuan","KEPERCAYAAN","0"
"2023","JAKARTA PUSAT","SAWAH BESAR","KARTINI","Perempuan","KATHOLIK","1458"
"2023","JAKARTA PUSAT","SAWAH BESAR","KARTINI","Perempuan","ISLAM","7658"
"2023","JAKARTA PUSAT","SAWAH BESAR","KARTINI","Perempuan","HINDU","31"
"2023","JAKARTA PUSAT","SAWAH BESAR","KARTINI","Perempuan","BUDHA","1538"
"2023","JAKARTA PUSAT","SAWAH BESAR","KARTINI","Laki_Laki","KRISTEN","2435"
"2023","JAKARTA PUSAT","SAWAH BESAR","KARTINI","Laki_Laki","KHONGHUCU","5"
"2023","JAKARTA PUSAT","SAWAH BESAR","KARTINI","Laki_Laki","KEPERCAYAAN","0"
"2023","JAKARTA PUSAT","SAWAH BESAR","KARTINI","Laki_Laki","KATHOLIK","1227"
"2023","JAKARTA PUSAT","SAWAH BESAR","KARTINI","Laki_Laki","ISLAM","7710"
"2023","JAKARTA PUSAT","SAWAH BESAR","KARTINI","Laki_Laki","HINDU","19"
"2023","JAKARTA PUSAT","SAWAH BESAR","KARTINI","Laki_Laki","BUDHA","1444"
"2023","JAKARTA PUSAT","SAWAH BESAR","KARANG ANYAR","Perempuan","KRISTEN","2052"
"2023","JAKARTA PUSAT","SAWAH BESAR","KARANG ANYAR","Perempuan","KHONGHUCU","8"
"2023","JAKARTA PUSAT","SAWAH BESAR","KARANG ANYAR","Perempuan","KEPERCAYAAN","0"
